"data","memoria","cpu"
"01/20/2021 11:47:23","77.2","12.4"
"01/20/2021 11:47:53","78.0","13.9"
"01/20/2021 11:48:23","78.2","20.2"
"01/20/2021 11:48:53","78.1","12.2"
"01/20/2021 11:49:23","78.2","19.6"
"01/20/2021 11:49:53","78.2","14.2"
"01/20/2021 11:50:23","78.6","24.8"
"01/20/2021 11:50:53","78.9","17.7"
"01/20/2021 11:51:23","78.5","17.1"
"01/20/2021 11:51:53","78.6","19.8"
"01/20/2021 11:52:23","78.5","7.6"
"01/20/2021 11:52:53","78.3","16.9"
"01/20/2021 11:53:23","78.4","14.3"
"01/20/2021 11:53:53","78.2","17.8"
"01/20/2021 11:54:23","78.2","11.2"
"01/20/2021 11:54:53","78.2","17.6"
"01/20/2021 11:55:23","78.3","8.0"
"01/20/2021 11:55:53","78.9","18.6"
"01/20/2021 11:56:23","78.3","10.8"
"01/20/2021 11:56:53","78.4","13.4"
"01/20/2021 11:57:23","78.3","13.6"
"01/20/2021 11:57:53","79.1","7.7"
"01/20/2021 11:58:23","78.3","5.8"
"01/20/2021 11:58:54","78.3","4.5"
"01/20/2021 11:59:24","78.4","7.0"
"01/20/2021 11:59:54","78.4","4.1"
"01/20/2021 12:00:24","78.4","7.0"
"01/20/2021 12:00:54","78.5","8.3"
"01/20/2021 12:01:24","78.5","13.2"
"01/20/2021 12:01:54","78.7","4.7"
"01/20/2021 12:02:24","78.6","15.2"
"01/20/2021 12:02:54","78.5","4.8"
"01/20/2021 12:03:24","78.6","7.3"
"01/20/2021 12:03:54","78.6","5.3"
"01/20/2021 12:04:24","78.6","10.3"
"01/20/2021 12:04:54","78.5","6.6"
"01/20/2021 12:05:24","78.9","8.7"
"01/20/2021 12:05:54","79.9","10.0"
"01/20/2021 12:06:24","79.4","8.8"
"01/20/2021 12:06:54","79.0","6.4"
"01/20/2021 12:07:24","79.2","11.6"
"01/20/2021 12:07:54","79.2","10.6"
"01/20/2021 12:08:24","79.1","13.9"
"01/20/2021 12:08:54","78.9","13.3"
"01/20/2021 12:09:24","80.0","10.1"
"01/20/2021 12:09:54","79.2","7.9"
